日期	问题jira链接+摘要	收集到的信息	产品Agent判断	准确率标注	吴优	状态	复盘后的产品Agent判断	备注	相关文档
2026-07-21	PC-38026｜充电站已选中时再次选择未执行	"场景：C673-ICA高德首页充电站已选中，再说‘选择充电站/点击充电站’不执行。[Jira原票·描述/2026-07-16 10:08评论]
正式缺口：第7行只定义未选中态navigation_shortcut_bar_charging_station；全表未找到评论所述navigation_shortcut_bar_hide_charging_station或取消/隐藏充电站节点。[深蓝可见配置·地图-高德第7行/已选中态检索]
当前语音：‘选择充电站’落meta_id=1919不支持，‘点击充电站’落meta_id=1208搜索充电站，两个结果不一致。[Alchemy在线对话·BIGSUR·选择/点击充电站][Alchemy标准1429/项目24548·meta_id 1208]"	"结论：不能按‘已选中态仅支持隐藏/取消’直接关闭；现行正式表缺少研发评论所述的已选中态节点，且两句原话当前路由不一致。
依据：深蓝可见配置Sheet‘地图-高德’第7行只定义未选中态navigation_shortcut_bar_charging_station；全表未找到navigation_shortcut_bar_hide_charging_station；Alchemy BIGSUR‘选择充电站’落meta_id=1919，而‘点击充电站’落meta_id=1208；Jira 2026-07-16 10:08评论仅说明当前节点切换实现。
处理：确认已选中态正式节点、目标操作和词表，补齐配置后统一复测‘选择/点击充电站’；地图可见配置负责人处理。"	FALSE		待会诊		已选中态正式节点缺失；先补目标配置再统一复测两句	"Jira原票·描述/2026-07-16 10:08评论
可见配置·地图-高德第7行/已选中态检索
Alchemy在线对话·BIGSUR·选择/点击充电站
Alchemy标准1429/项目24548·meta_id 1208"
2026-07-21	PC-37808｜最快路线偏好未传入选路执行	"现象：‘导航到天安门走最快的路’后选择第一个POI，语义已正确下发route_preference=shortest_time，但POI二次选择后地图启动算路时strategy=null。[Alchemy当前实测/标准1433/项目24552][Jira评论·2026-07-17 16:15]
正式目标：POI二次命中后应把本次请求的规划条件与命中POI一起传入规划；路线规划正式定义支持‘速度最快’，现有算路页展示最多3条路线并默认选中偏好算路返回的第一条，8秒无操作后开始导航。[路线规划主流程PRD v1.2·5.4.4/5.5][地图主PRD V6.1·3.1]"	"结论：定义为地图导航执行缺陷。‘导航到天安门走最快的路’经POI二次选择后，应保留route_preference=shortest_time并按该偏好发起算路；仍进入现有路线规划页，展示最多3条路线并默认选中偏好算路返回的第一条，8秒无操作后开始导航，不由客户端按三条耗时二次比选，也不直接跳过规划页。
依据：Alchemy标准1433/深蓝24552；路线规划主流程PRD v1.2·5.4.4/5.5；地图主PRD V6.1·3.1；Jira评论·2026-07-17 16:15。
处理：修复POI可见选择后的route_preference透传，并覆盖现有全部支持的路线偏好回归；地图应用研发负责人处理。"	FALSE		可转研发		保留shortest_time发起偏好算路；保留路线规划页及8秒倒计时；公共链路覆盖全部已支持路线偏好	"Jira原票·描述/完整评论
Alchemy标准1433/深蓝项目24552
路线规划主流程PRD v1.2·5.4.4/5.5
地图主PRD V6.1·3.1
地图交互V0.6"
2026-07-21	PC-37681｜恒温座舱模式2无法识别	现象：[Jira原票] C385MCA/SWD.6.41、P档下，模式1正常开启，模式2无法识别。定义：[C385功能定义V4.3] 明确模式1=正常模式（原短时停车），模式2=低功耗模式（原恒温座舱），下电后的功能表现不同。当前实现：[VOS调试] 对“打开恒温座舱模式二”仅命中通用 constant_temperature_cabin_on，未见低功耗专属路由。范围：[C385MCA需求清单] 登记本项目继承 C385-EVE 恒温座舱功能。UE：[C385MCA UE方案] 仅说明低功耗为特殊全屏应用，未提供模式1/2入口或MasterGo图层，不能替代交互依据。	"结论：本票预期成立。模式1/模式一应选择正常模式（原短时停车）；模式2/模式二应选择低功耗模式（原恒温座舱）。当前模式2原话只命中通用意图，未进入低功耗专属路由，属于语音 NLU 映射缺陷。
依据：[Jira原票]、[C385功能定义V4.3]、[VOS调试]。
处理：语音 NLU 将模式1/模式一映射为短时停车模式（正常），模式2/模式二映射为恒温座舱模式（低功耗）；同时回归产品现称“恒温座舱选择正常模式/低功耗模式”。"	FALSE		可转语音		回归：模式1/模式一→短时停车/正常；模式2/模式二→恒温座舱/低功耗；同时覆盖“选择正常模式/低功耗模式”，并核验下电后分别为可操作当前界面与低功耗专属界面。	"Jira原票
VOS调试
C385MCA需求清单
C385功能定义V4.3
C385功能定义V4.9
C385MCA UE方案"
2026-07-21	ADS-47409｜首次进入深小闻提示阻断语音	视频：出现两处“你可以说”提示；可见提示PRD规定新指令输入后提示应消失，未定义提示可拦截指令。	关闭：首次提示关闭后再接收语音；测试侧按首次进入状态验收。	FALSE	确认设计如此，关闭	可关闭	维持关闭：可见提示有设计依据；测试负责人按“触屏进入且语音未开启”场景验收。	边界：若语音已开启仍不响应，提示设计不能作为关闭依据，需重开并转语音服务谭威处理。	谭威设计确认｜可见提示PRD｜Deepal AI APP PRD
2026-07-28	ADS-47367｜天气查询范围回复不一致	"复开争议：研发以天气/天气指数属于不同功能点、范围不同为由要求统一口径。[Jira当前评论]
实车记录：今天本地全天天气误报“仅支持7天内”；天气指数的1天边界仍按定义执行。[Jira实车记录]
正式定义：天气1249支持T~T+7；天气指数1251仅当天；天气PRD8155&8295与上述边界一致。[天气1249][天气指数1251][天气PRD8155&8295]"	"结论：今天本地全天天气误报“仅支持7天内”属于执行缺陷；天气与天气指数分别为7天/1天的边界符合现行定义。
依据：Jira实车记录、天气1249、天气指数1251、天气PRD8155&8295。
处理：修正“全天”问法为返回当天天气；语音天气功能点研发处理。"	FALSE	关闭	可转研发	"结论：ADS-47367 包含两项独立问题：今天本地全天天气应回复今天的天气，当前提示“仅支持七天内天气”属于执行错误；天气与天气指数分别为7天/1天的边界符合现行定义，不在本票修改。
依据：客户复盘（本轮口述，暂无外部入口）、[Jira实车记录]、[天气1249]、[天气指数1251]、[天气PRD8155&8295]。
处理：将问题1转语音天气功能点研发，修正“全天”问法为返回当天天气。语音天气功能点研发处理。"	天气/天气指数边界仅在客户确认调整现行定义后另立需求。	"Jira原票
Jira实车记录
天气1249功能点
天气指数1251功能点
天气PRD8155&8295"
2026-07-21	ADS-47181｜确认创建场景时重复弹记忆卡片	Jira：询问是否创建场景后说“需要”，仍落active_memory 3203并再次弹记忆确认。	解决：将“需要”作为场景创建确认，直接进入场景创建；主动记忆/会话编排处理。	FALSE	跟客户确认	可转研发		仅在“是否创建场景”pending态生效。	Jira链路日志
2026-07-21	ADS-47165｜替换途经点时序号选错列表	AI大模型PRD/Jira/Alchemy：8295《POI推荐_v0.8》2.5.1规定模型列表可用“第x个”按列表项发起导航，2.5.3规定POI列表二次交互命中meta_id=1455时按该列表处理；本轮Jira命中meta_id=1455、list_offset=1。文档未规定多列表同屏时“可见优先”，当前实现截获了正在确认的途经点候选。	解决：替换途经点时，“第一个”只选择左侧搜索结果中的第一个地点；语音交互研发处理。	FALSE	转语音汪文菁	可转语音	产品补充定义：当系统正在确认替换途经点的候选序号时，“第一个”必须选择本次替换候选列表的第一项，不得被同屏其他可见列表截获；语音交互/可见即可说研发处理。	只在替换途经点期间生效；完成或退出后恢复普通可见选择。	大模型POI PRD｜Jira同会话日志｜Alchemy标准1455｜深蓝项目点24544
2026-07-21	ADS-47395｜车外识别卡片遮挡语音球	Alchemy：原话正确命中1356车外识别；视频显示功能卡片正常打开后覆盖语音球，属于页面层级冲突。	解决：车外识别卡片展示时不得覆盖语音球，调整卡片层级或避让位置；语音GUI/DEEPAL AI前端研发处理。	FALSE		可转研发		在地图页、非地图页及卡片加载、展开、收起状态回归遮挡。	Alchemy项目点26067
2026-07-22	ADS-47531｜燃油补电SOC上限调低一点提示不支持	正式UE《长安深蓝_8295平台_交互设计文档_车辆设置》“燃油补电”规定：开启后可设置目标SOC，范围30%–80%，默认80%；当前 Alchemy 对“燃油补电SOC上限设置为70%”及“调低燃油补电SOC上限”均落 meta_id=1919（不支持）。现有资料只定义车机设置能力，未定义语音绝对值或相对调节规则，属于语音能力缺口。	转需求：新增燃油补电SOC上限的语音设置能力，至少支持指定百分比和“调高/调低”相对调节；语音产品及功能点建设负责。	FALSE		转需求		需求需补充可设置前提、30%–80%边界、相对调节步长及到达边界时的TTS。	Jira；车辆设置UE；Alchemy在线测试
2026-07-22	ADS-47319｜沿途搜索修理店仅返回一个结果	Jira同会话日志显示：当时在线仲裁选中 meta_id=3202（Claw），虽同时产出 meta_id=1005，最终由 Claw 仅返回1个POI；地图和车端未截断。当前 Alchemy 对同一句“沿途搜索修理店”直接命中 meta_id=1005、type=navi:dest:search:around_route。正式《大模型POI推荐_v0.8》定义的是推荐类模糊意图，不能据此把明确“沿途搜索”当作大模型自由推荐。	解决：“沿途搜索修理店”应直接按 meta_id=1005 调用地图沿途搜索，不得走 Claw 单点推荐；语音在线仲裁/DS研发修复路由。	FALSE		可转语音		回归沿途不同POI类型、路线有无结果及多候选展示；未指定数量不等于只允许返回1个。	Jira；大模型POI PRD；Alchemy在线测试
2026-07-22	BEO-8269｜英语离线退出露营大床提示不支持	Jira日志：英语离线语料已正确翻译为“退出露营大床”，却命中 meta_id=1650、vehicle:ctrl:seat:chaise_longue 并播报“Not supported yet”。Alchemy核验：meta_id=1650 的标准点实际为“关闭贵妃榻”，深蓝项目无对应继承点；当前在线同句又误落音乐播放。D587-G《智能情景模式功能定义V0.3》明确包含露营大床退出、关闭/立即退出请求及安全恢复流程，属于英语离线语义映射错误。	解决：D587-G 英语离线“Exit camping bed”应执行关闭露营大床并进入安全恢复流程；AIS/离线 NLU 功能点研发（刘双龙）修正语义映射。	FALSE		可转语音		需同时回归大小写、同义说法及露营大床开启/暂停状态，确认离线输出正确关闭指令和安全播报。	Jira日志；D587-G情景模式V0.3；D587-G语音需求V0.2；Alchemy标准点；Alchemy深蓝项目
2026-07-23	ADS-47039｜大模型POI卡片收藏无响应	Jira：在大模型POI列表说“把第二个收藏一下”后终止无响应；当前评论：汪雯菁标注“产品确认需求/产品-吴优”，刘双龙明确“关联票已分析，需要产品确认需求”；关联原票：仅以“可见上无收藏动作”关闭。正式《深蓝8295大模型POI推荐v0.8》2.5仅定义导航、第x个、详细介绍和二次筛选；最新《语音大模型交互v1.5》POI交互也只定义导航/详细介绍，未定义收藏入口或语音动作。CX835资料虽定义“收藏第2个”，但不是深蓝项目需求，不能跨项目套用。	"结论：深蓝8295现行大模型POI卡片未定义“收藏第x个”能力，本票不按研发缺陷处理。
依据：深蓝POI PRD v0.8、深蓝大模型UE v1.5。
处理：关闭本Bug；吴优向客户确认是否另行输入收藏POI需求，客户需要则转需求评审。"	FALSE		可关闭		若客户要求新增，需补充收藏位置、收藏对象、重复收藏、与地图收藏同步及TTS。	"Jira原票
研发评论（需产品确认需求）
关联原票评论
深蓝POI PRD v0.8
深蓝大模型UE v1.5
CX835对比资料"
2026-07-23	ADS-47521｜打开保养记录提示暂不支持	Jira：实车“打开保养记录”稳定返回暂不支持，而“打开保养服务”可执行；产品确认评论询问是否应做泛化。C385本地保养定义V0.4：产品是独立“本地保养”APP，页面仅显示保养项目、剩余里程和剩余时间，未定义历史“保养记录”页面。C385维修保养UE V0.3同样只展示当前保养信息。Alchemy在线测试：“打开保养记录”命中 meta_id=1919 不支持；“打开保养服务”及“打开保养信息”命中 meta_id=1305。标准功能1423和深蓝功能点24542已支持打开特定页面/APP，但项目未把“保养记录”定义为当前页面别名。	"结论：C385现行“本地保养”仅定义查询保养信息，未定义“保养记录”页面；“打开保养记录”目前不按研发缺陷处理。
依据：C385本地保养定义V0.4、Alchemy在线测试、深蓝功能点24542。
处理：吴优向客户确认“保养记录”是否等同当前“保养信息”页；若等同，转语音泛化需求补充至 meta_id=1305，由语音NLU/DS负责人处理；若指历史维保记录，另行输入新功能需求。"	FALSE		待确认		“保养记录”可能指历史维保记录，不等同当前保养信息；客户确认前不关闭、不转研发。	"Jira原票
产品确认评论
VOS请求日志
C385本地保养定义V0.4
C385维修保养UE V0.3
智能保养提醒PRD
Alchemy在线测试
Alchemy标准功能1423
Alchemy深蓝功能点24542"
2026-07-24	BEO-8432｜D587-G DVR前后阿语翻译错误	Jira原票：D587-G 中东非 0518 分支，DVR 页面“前/后”阿语错误且必现；票内期望“前=رؤية تلقائية、后=تبديل الرؤية”与词义不符。当前评论：翻译文档本身有问题，且不是 IC 模块，需同步至当前使用文档。IC水印翻译库（UI!A2:S3）已定义 673-g/d587-g 的“前=أمام、后=خلف”。D587-G文档管理20260522 将 DVR 资料归口杨佳锭，现行文档为《华为配置行车记录仪需求规格说明书V0.7.1》；Drive 未检索到研发当前使用、含 camera_front/camera_rear 的 D587 翻译输入表。关联票SD-1696 同类“前后左右”未翻译问题由 water_mark 水印库研发程贤凯导入翻译，相关变更988089已合入并实车验证通过。	"结论：BEO-8432 定义为 D587-G 中东非 DVR 水印多语言资源缺陷；原票所列“自动视图/切换视图”阿语不是正确期望，目标应为“前=أمام、后=خلف”。
依据：IC水印翻译库、D587-G文档管理20260522、关联票SD-1696。
处理：吴优先把正确译文同步到 D587-G 当前翻译输入；DVR 水印库研发程贤凯按 water_mark 模块导入并修复，中东非实车回归“前/后/左/右”。当前票不关闭，转研发修复。"	FALSE		可转研发		研发当前使用的 D587 翻译输入表尚未获得可访问链接；转研发前需补齐该入口并确认已同步。	"Jira原票
当前评论
错误译文附件
IC水印翻译库
D587-G文档管理20260522
关联票SD-1696
water_mark变更988089"
2026-07-27	ADS-47178｜AI提示低对比不可辨识	现象：Jira复现截图显示，长行程回复时底部“以下内容由Deepal AI生成”文字未被裁剪，但与蓝色毛玻璃背景低对比，用户难以辨识。正式产品定义：8295大模型PRD V0.9规定正文完成后首句更新为该提示。当前实现事实：谭威研发分析确认内容完整，默认半透明底色叠加毛玻璃及80%白色15sp提示文字，导致看似被遮挡。规则空白：本次未检索到可访问的目标交互图层/色值入口，不能以“文字存在”定义为合格。	"结论：底部“以下内容由Deepal AI生成”提示不可辨识，属于卡片可读性缺陷，不按“文字存在”关闭。
依据：8295大模型PRD V0.9、谭威研发分析。
处理：调整提示的前景色、字号或承载背景，确保长回复及不同毛玻璃背景下稳定可辨；Deepal AI前端（Android-General）研发处理。"	FALSE		可转研发		补齐目标UE色值，并在C673-7/C385-2适配范围确认后回归长回复及蓝色背景。	"Jira原票
复现截图
谭威研发分析
8295大模型PRD V0.9"
2026-07-28	ADS-47556｜结束充电后低电量退出小憩	正式产品定义：智能情景模式现行定义6.3.1规定，小憩激活后，SOC＜18%且车辆未处于外接充电状态时退出；开启条件为SOC≥20%或车辆处于外接充电状态。车型配置表也保留了“电池电量小于20%且未充电时不可开启”的项目口径。当前实现事实：Jira研发评论与日志显示，结束充电时SOC为14%，AndesCarController以socLow2发出关闭通知，同一日志多次退出原因一致。结论：现象符合正式规则，不是AndesSceneMode异常退出。范围核对：标题/描述为C385-5，Jira车辆字段却为C673-6，测试需修正字段；该正式定义覆盖C385&C673。	"结论：结束充电时SOC为14%，已低于正式定义的18%退出阈值；系统退出小憩符合设计，本票不按研发缺陷处理。
依据：智能情景模式现行定义6.3.1、Jira研发评论。
处理：吴优关闭本Bug；测试负责人修正Jira车型字段，并按“未外接充电且SOC＜18%退出”规则验收。"	FALSE		可关闭		仅适用于小憩已激活后由“充电中”转为非外接充电且SOC＜18%的场景；若仍处于外接充电、SOC≥18%或无低电量退出原因仍被退出，应重新提缺陷。Jira标题/描述与车辆字段不一致，关闭前由测试修正为实际车型。	"Jira原票
研发评论
智能情景模式现行定义
小憩车型配置"
2026-07-29	ADS-47560｜小憩低电量退出阈值	"现象：小憩以21%SOC进入，运行中降至17%后退出，测试预期7%。[Jira原票]
实现：日志为socLow2，当前实现以SOC<18%且非充电作为退出条件。[Jira当前评论]
正式定义：小憩进入SOC≥20%或外接充电；激活中SOC<18%且非充电时退出。[智能情景模式V3.8 6.3.1]
关联：ADS-47556在同版本14%结束充电退出，已按同一条款核验。[关联票ADS-47556]"	"结论：小憩运行中SOC低于18%且未充电时应退出；本票17%退出符合现行定义，7%预期不成立。
依据：Jira原票、智能情景模式V3.8 6.3.1、关联票ADS-47556。
处理：按现行定义关闭本Bug；吴优产品负责人处理。"	FALSE		待确认	"结论：本票为客户问题；现有资料只能证明17%退出符合18%定义，尚缺客户测试用例，不能据此关闭。
依据：用户复盘口径（本轮对话，无外部入口）、Jira原票、智能情景模式V3.8 6.3.1。
处理：向客户收集车型/版本、SOC起止值、充电状态、完整步骤、预期7%依据和日志后复核；吴优产品负责人处理。"	客户测试用例回收前保持待确认，不执行关闭。	"Jira原票
智能情景模式V3.8 6.3.1
关联票ADS-47556"
2026-07-29	ADS-47298｜POI与闲聊卡片展示优先级	"现象：复合指令先出现DEEPAL AI弹窗再出现POI弹窗；语音提前退出已修复，当前剩余为卡片呈现策略。[Jira原票]
需求：ADS-47648定义poi推荐+闲聊时仅展示POI卡片，闲聊仅TTS。[POI优先级ADS-47648]
关联：ADS-47462已修复卡片互斥错误并转入该任务；GL-5960仅为归类票。[关联修复ADS-47462][归类票GL-5960]"	"结论：本票的POI与闲聊卡片展示应按 ADS-47648 的“仅POI卡片、闲聊仅TTS”目标实现；不再按语音提前退出缺陷重复修复。
依据：Jira原票、POI优先级ADS-47648、关联修复ADS-47462。
处理：并入ADS-47648完成实现并回归；AI大模型POI推荐研发处理。"	FALSE		待回归		ADS-47648交付后复测：仅POI卡片，闲聊仅TTS。	"Jira原票
POI优先级ADS-47648
关联修复ADS-47462
归类票GL-5960"
2026-07-29	ADS-47187｜POI二轮“还有其他吗”重复推荐	"现象：首轮POI后说“还有其他的吗”，meta1437落域已修复，但当前会重复推荐同一批门店。[Jira原票]
正式定义：POI PRD仅定义meta1455按评分、价格、距离等条件二次筛选，未定义meta1437排除历史POI。[POI推荐PRD V0.8 2.5.3]
关联：ST-65889仅记录落域修复；ST-65907、ST-65884为归类/跟踪票，未增加业务目标。[ST-65889][ST-65907][ST-65884]"	"结论：已修复“还有其他的吗”的落域链路；排除上一轮POI并推荐新结果不在现行二次筛选定义内，本票为新增需求。
依据：Jira原票、POI推荐PRD V0.8 2.5.3。
处理：新增“换一批/排重”POI需求，明确meta1437和历史POI排除规则；AI大模型POI推荐产品需求负责人处理。"	FALSE		转需求		需明确“其他”说法、排除范围及无结果时TTS/卡片策略。	"Jira原票
POI推荐PRD V0.8 2.5.3
ST-65889
ST-65907
ST-65884"
2026-07-29	ADS-45702｜小憩触屏亮屏后自动大灯状态	"现象：自动大灯开启后进入小憩、点击熄屏再触屏亮屏，仍处小憩激活态时自动大灯未恢复。[Jira原票]
资料范围：V3.8只规定触屏亮屏时取消小憩熄屏关灯请求，未定义大灯恢复为自动。[智能情景模式V3.8 6.3.1]
争议：企业微信截图主张车辆设置需求但无正式入口；SM-17386车型和触发不同，不适用本票。[企业微信截图][历史票SM-17386]"	"结论：现行C385小憩定义只规定触屏亮屏时取消熄屏关灯请求，未定义仍处小憩激活态必须把大灯恢复为“自动”；本票预期为新增交互需求。
依据：Jira原票、智能情景模式V3.8 6.3.1。
处理：新增“触屏亮屏后大灯状态”需求，明确恢复自动/恢复原状态/保持关灯的策略；小憩及车辆灯光产品需求负责人处理。"	FALSE		转需求		需明确恢复自动/恢复原状态/保持关灯及与退出小憩的差异。	"Jira原票
智能情景模式V3.8 6.3.1
企业微信截图
历史票SM-17386"
2026-07-30	SLV-43461｜语音导航后“选择第一个”无响应	"客户产品评论明确目标：在语音导航结果的路线列表中，点击任一列表项应对该路线发起导航。[客户交互结论截图]
研发确认当前未添加该逻辑，并要求补需求票与 UE。[研发确认][研发转需求意见]
本单是路线列表点击交互缺失，不是语音“第一个”的识别问题；BGS-82842仅为跨项目重复追踪。[Jira原票][关联票BGS-82842]"	"结论：本票不是语音“第一个”的识别缺陷；客户已明确要求补充“路线列表点击即对该路线发起导航”的交互，定义为新增需求。
依据：客户交互结论截图、研发确认、Jira原票。
处理：新增路线列表项点击发起对应路线导航的需求并补充 UE（适用页面、列表项、触发与选中态）；吴优处理。"	FALSE		转需求		需求仅覆盖触屏点击路线列表，非语音序号选择。	"Jira原票
客户交互结论截图
研发确认
研发转需求意见
关联票BGS-82842"
2026-07-30	http://jira.i-tetris.com/browse/SLV-44272	Jira原票：DA问“打开导航历史记录”返回“没有找到”；7月30日评论说明DA地图库已切高德、该语音未承接。C673清单仅列GUI“导航历史列表”，未定义DA语音入口或配置词 资料：Jira原票、C673全功能清单V1.3。	"结论：导航历史GUI能力不能推出DA语音入口，当前不能按软件缺陷或需求定责
依据：Jira原票、C673全功能清单V1.3
处理：补齐C673 DA语音功能清单、配置词和当前版本映射；语音产品负责人处理。"	FALSE		待确认		缺DA语音入口、配置词及版本映射，补齐前不转研发或需求	"Jira原票
C673全功能清单V1.3"
2026-07-30	SLV-44265｜[User][C673基础款 DA车型][0130]15:27 query"关闭自动进入巡航/关闭巡航自动"，TTS“暂不支持.......	"现象：C673 BIGSUR实车说“关闭自动进入巡航/关闭巡航自动”，实际回复暂不支持；唯一评论为“平台新增定义，请产品确认”。[Jira原票]
正式定义：C673全功能清单仅定义“集成式自适应巡航”开关及开启前安全说明，未定义“自动进入巡航/巡航自动”；车辆设置PRD同样无该功能，不能用前者替代本票目标。[C673全功能清单][车辆设置PRD]
平台现状：BIGSUR现测“关闭自动进入巡航”命中meta1919不支持；“关闭巡航自动”命中meta1003、target=cruise_auto_open。标准功能点页面及该点与本车型目标的同义关系未核验。[Alchemy BIGSUR现测]"	"结论：同一票的两种说法在BIGSUR被路由为不同结果，且正式资料未定义“自动进入巡航”与cruise_auto_open的同义关系，当前不能按现有功能缺陷定责。
依据：Jira原票、C673全功能清单、车辆设置PRD、Alchemy BIGSUR现测。
处理：补齐“自动进入巡航/巡航自动”的目标功能、同义边界及标准/项目功能点映射后重新判定；C673语音产品需求负责人处理。"	FALSE		待确认		缺目标功能定义、同义边界及标准/项目功能点映射	"Jira原票
C673全功能清单
车辆设置PRD
Alchemy BIGSUR现测"
2026-07-30	SLV-44264｜[User][C673基础款 DA车型][0130]15：19 query"打开巡航自动"，TTS“暂不支持安全提醒”，期望打开自动进入巡航	"现象：C673 BIGSUR实车说“打开巡航自动”，实际回复暂不支持安全提醒，测试预期为打开“自动进入巡航”；唯一评论为“平台新增定义，请产品确认”。[Jira原票]
正式定义：C673全功能清单仅定义“集成式自适应巡航”开关及开启前安全说明，未定义“自动进入巡航/巡航自动”；车辆设置PRD也无该功能，无法证明票面预期成立。[C673全功能清单][车辆设置PRD]
平台现状：BIGSUR现测“打开巡航自动”命中meta1024 navi:map:journey:setting、target=cruise_auto_open；但标准功能点页面及其与“自动进入巡航”的同义关系未核验。[Alchemy BIGSUR现测]"	"结论：BIGSUR已有“巡航自动”项目路由，但正式资料未证明其目标就是“自动进入巡航”，当前不能据车端TTS直接定为语音执行缺陷。
依据：Jira原票、C673全功能清单、车辆设置PRD、Alchemy BIGSUR现测。
处理：补齐cruise_auto_open的标准功能定义、C673项目继承及目标TTS后重新判定；C673语音产品需求负责人处理。"	FALSE		待确认		缺cruise_auto_open标准定义、项目继承和目标TTS	"Jira原票
C673全功能清单
车辆设置PRD
Alchemy BIGSUR现测"
2026-07-30	SLV-44263｜[User][C673基础款 DA车型][0130]15：16query"打开自动进入巡航"，TTS“暂不支持”，期望打开自动进入巡航，tt	"现象：C673 BIGSUR实车说“打开自动进入巡航”，实际回复暂不支持，测试预期为打开自动进入巡航；唯一评论为“平台新增定义，请产品确认”。[Jira原票]
正式定义：C673全功能清单仅定义“集成式自适应巡航”开关及开启前安全说明，未定义“自动进入巡航”；车辆设置PRD也无该功能，不能把测试预期当正式目标。[C673全功能清单][车辆设置PRD]
平台现状：BIGSUR现测“打开自动进入巡航”命中meta1919 common:func:not:supported；标准功能点及C673项目功能点均未取得可验证定义。[Alchemy BIGSUR现测]"	"结论：正式资料与BIGSUR项目均未建立“自动进入巡航”的可验证目标，当前不能将“不支持”直接定义为现有功能缺陷。
依据：Jira原票、C673全功能清单、车辆设置PRD、Alchemy BIGSUR现测。
处理：补齐“自动进入巡航”的功能定义、配置词及标准/项目功能点后重新判定；C673语音产品需求负责人处理。"	FALSE		待确认		缺功能定义、配置词及标准/项目功能点	"Jira原票
C673全功能清单
车辆设置PRD
Alchemy BIGSUR现测"
2026-07-30	SLV-44216｜【客户UI问题】【地图】设置项缺失停车场推荐和步行接续-功能实现问题： 预期效果： 有相应的停车场推荐和接续算路开关	"现象：C673地图设置缺少停车场推荐和步行接续开关。[Jira最新评论·0729客户会结论]
证据：0729客户会明确按UI补上，录屏24:45形成结论；C673主清单第45行定义步行接续，MasterGo 850页面包含停车场推荐/步行接续能力。[客户会议录屏·24:45][C673功能清单·16_地图第45/85-93/298行][C673地图UE V0.6·850页面/检索图层]"	"结论：停车场推荐和步行接续设置项按0729客户会及生效UI补齐，属于实现缺失。
依据：Jira最新评论·0729客户会结论、客户会议录屏·24:45、C673功能清单·16_地图第45行、C673地图UE V0.6·850页面。
处理：补齐两个设置入口、开关状态和回归用例；C673地图研发负责人处理。"	FALSE		可转研发		按客户会范围实现两个开关，不扩展未确认的推荐策略	"Jira最新评论·0729客户会结论
客户会议录屏·24:45
C673功能清单·16_地图第45/85-93/298行
C673地图UE V0.6·850页面/检索图层"
2026-07-30	SLV-44215｜【客户UI问题】【地图】导航-停车场推荐-功能实现问题： 预期效果： 点击去这里之后，应该直接重新算路去这里，而不是要进入路线推荐页。	"现象：点击停车推荐“去这里”后进入路线推荐页，票面主张应直接重算。[Jira最新评论·等待客户补需求]
证据：最新评论为“等待张俊华补充需求”；C673主清单和MasterGo仅证明停车场能力，未定义该点击后的直达/中转流程。[C673功能清单·16_地图第45/85-93/298行][C673地图UE V0.6·850页面/检索图层]"	"结论：直接重算还是进入路线推荐页尚无客户最终点击流程，当前不能按地图缺陷转研发。
依据：Jira最新评论·等待客户补需求、C673地图UE V0.6·850页面。
处理：补齐“去这里”点击后的目标页面、重算触发和异常分支；吴优对接张俊华确认。"	FALSE		待确认		缺客户最终点击链路；确认前不按旧UE推定直达重算	"Jira最新评论·等待客户补需求
C673功能清单·16_地图第45/85-93/298行
C673地图UE V0.6·850页面/检索图层"
2026-07-30	SLV-44214｜【客户UI走查】【地图】首页-充电站快捷开关-UI问题： 1.卡片缺失充电品牌图标 2.卡片存在堆叠 预期效果： 1.充电站卡片的布局应该进	"现象：充电站快捷开关存在品牌图标缺失、卡片堆叠和视野跳转三项问题。[Jira最新评论·0729客户会结论]
证据：0729客户会只先确认修复UI图已有品牌图标缺失；MasterGo含充电站气泡/深度信息，未形成其余两项最终规则。[C673地图UE V0.6·850页面/检索图层]"	"结论：本票先按客户会明确范围修复充电品牌图标缺失；卡片堆叠和当前视野搜索不并入本次实现。
依据：Jira最新评论·0729客户会结论、C673地图UE V0.6·850页面。
处理：补齐品牌图标并回归；其余两项拆票补目标后处理；C673地图UI研发负责人处理。"	FALSE		可转研发		本票实现范围仅品牌图标；堆叠和视野策略需拆票	"Jira最新评论·0729客户会结论
C673地图UE V0.6·850页面/检索图层
C673功能清单·16_地图第45/85-93/298行"
